rf,year,month,ret
0.00360,2023,5,0.0024823239
0.00400,2023,6,0.0647275128
0.00450,2023,7,0.031138914
0.00450,2023,8,-0.017716432
0.00430,2023,9,-0.048719291
0.00470,2023,10,-0.021979688
0.00440,2023,11,0.0891792646
0.00430,2023,12,0.0442291694
0.00470,2024,1,0.0158957447
0.00420,2024,2,0.0517206154
0.00430,2024,3,0.0310187647
0.00470,2024,4,-0.041615043
0.00440,2024,5,0.0480212245
0.00410,2024,6,0.034669759
0.00450,2024,7,0.011321349
0.00480,2024,8,0.0228346884
0.00400,2024,9,0.0201968699
0.00390,2024,10,-0.009896781
0.00400,2024,11,0.0573013522
0.00370,2024,12,-0.024990137
0.00370,2025,1,0.0270163203
0.00330,2025,2,-0.014242128
0.00340,2025,3,-0.057544714
0.00350,2025,4,-0.007624937
0.00380,2025,5,0.0615238478
0.00340,2025,6,0.049606796
